beitrag_uuid;status;geaendert_am;bemerkung;uuid
2ada4b2f-d831-41d5-873c-5418c947f0fd;kontiert;1777311978;Beitrag angelegt;e6a83b0c-7d8e-4229-98c1-d32be26716a5
52b063f1-ef66-44a8-8c01-63ba6af57d62;kontiert;1777461674;Beitrag angelegt;e197530b-f48b-4e2d-af87-30ba2a0fba21
86ba9b9b-3e53-428e-9d57-346df937cab5;kontiert;1777461698;Beitrag angelegt;f518c8d0-7d57-440b-a777-db73c2a7db7d
18aea0e9-48ae-4b53-9ed7-ca7489ea206e;angemahnt;1779919200;Automatisch erstellt;4faf8983-ee9e-4aef-8bee-ea1a27d684a7
e3b3dddd-ae86-49da-adcf-3566235bdd15;bezahlt;1753135200;Storniert;d0093c0b-bce0-46ab-bc64-5927810304ce
6a4172e1-ecf0-43cf-876b-bb083c85f383;angemahnt;1795647600;Storniert;21faf22a-7a84-4eaf-aae1-a5035c5fed70
11dd63fd-bc96-4a0f-b4f0-0ffca956fc96;bezahlt;1771023600;Zahlung eingegangen;b4941f9a-43d6-4551-9c01-68ebc502c69c
6e486765-fa0c-40b6-b3a4-49493ffa8e20;bezahlt;1776722400;Zahlung eingegangen;32d18e60-878c-441c-9d07-88579828039b
8df36bec-8630-4707-bb16-b2b37300b38f;storniert;1740178800;Inkasso eingeleitet;5f0e85ff-5b49-47a8-bcc2-1cbd100fc893
d4392069-037b-4d19-8eed-1cc4e6a983a1;storniert;1759874400;Beitrag angelegt;21113b88-cfb2-46b3-ab45-444841e2323b
2ada4b2f-d831-41d5-873c-5418c947f0fd;offen;1765666800;Mahnung versendet;2f29e902-481f-4f46-a742-2c0855f9a48f
a8b95513-4a4f-473e-8a6c-9a31b98cd3a7;storniert;1770591600;Zahlung eingegangen;38cb453d-c604-427b-9cb0-3653c7091706
68026878-f420-43a2-abd3-370ab377019a;kontiert;1793487600;Mahnung versendet;dbee4913-1090-431d-92d8-d4c7a454cf86
bf830a1b-1b79-4fd3-9207-9f75c5d2d7ae;storniert;1761778800;Automatisch erstellt;65843f7b-d874-4199-989f-299cbe2b0980
ceddf2b4-8647-4c8c-9f3c-3b4eefa3d975;bezahlt;1784844000;Mahnung versendet;e51446e6-4188-4ce2-8d67-f6b0825be2e3
bf830a1b-1b79-4fd3-9207-9f75c5d2d7ae;angemahnt;1760997600;Zahlung eingegangen;33cb489d-8015-467d-9cc1-82637133c462
c8452500-14a4-4dd7-870e-aa03f8990b9c;offen;1785016800;Inkasso eingeleitet;01420318-c57e-4a34-aeeb-2f6a17c54a68
9ed6a5bd-541a-4b12-9cf4-8c5279809b4a;bezahlt;1794006000;Storniert;039180b1-a8f7-461b-956a-dff91c8d5fa2
c066a3fa-46bb-4403-ba1e-d03061073e64;kontiert;1785103200;Beitrag angelegt;c04ed7e9-1d18-448f-844d-8b1e55e9ff05
25379ccc-3e92-42cb-9e16-2c00bd909b85;offen;1764630000;Mahnung versendet;329c4d21-bd58-4d9b-a47c-9e9d8c4591f5
51623f3b-8ad3-4f37-9373-1b7f92f90405;inkasso;1750802400;Mahnung versendet;48dac6e8-8d71-401f-b6fa-04bc4f1d60c4
a0439588-7aa2-4d24-bc16-130ff478a11e;storniert;1791324000;Automatisch erstellt;b51d5a3c-50a8-4dcf-86b3-218367c1951a
cf1e080d-fb9d-42f5-9d0a-a7d776f61884;storniert;1757800800;Mahnung versendet;7776f7b7-0054-4bde-b0ef-0da5a646f104
412a3327-99e0-4103-9390-9654a37365c6;kontiert;1736118000;Beitrag angelegt;ed968abd-8ec8-4575-bb96-a61b9d225d42
caf460bc-7506-4ad7-a090-976bb6b64577;offen;1748988000;Zahlung eingegangen;3b4613f1-1cee-4afd-8683-21687f30952b
0dd58bac-cbc5-4c00-a8c2-3438c193f29d;bezahlt;1776463200;Storniert;9f145277-babb-40d1-b1e2-335dd8488232
09e821c1-107f-480c-b9d2-f168522b4df7;bezahlt;1768086000;Beitrag angelegt;0e47a5f7-398e-4d3f-94d7-8417584731ef
6c08b25b-9011-48d3-a941-8c9e66643d6c;storniert;1795215600;Zahlung eingegangen;5aab2c3e-5908-41ba-ab2a-2ee84ea41110
645d6442-0dd5-4204-bc21-4a82e29ab254;bezahlt;1754604000;Zahlung eingegangen;4ce4a9ce-4abd-48fd-b35b-e34a36a5a134
bdc7e90e-81dc-4bf3-bac8-a96329038eba;bezahlt;1775944800;Beitrag angelegt;c2b1473e-e9ca-4859-aedb-9430790196f3
2b26e798-2897-4da7-a5aa-3e642a166a94;angemahnt;1797289200;Inkasso eingeleitet;5ab096f9-0962-4a2b-81c4-c1b8e823222f
e95cbb61-5753-4fc7-bcbe-9619e129459e;angemahnt;1738105200;Storniert;199a55fa-ba6f-42fc-8c5f-aa8f0374c2e3
92f4f9f8-8986-4626-b77a-007211d306ad;angemahnt;1784325600;Zahlung eingegangen;dfc109f5-07e7-4f93-b4e3-b80bb5e6bb23
a8b95513-4a4f-473e-8a6c-9a31b98cd3a7;angemahnt;1762124400;Storniert;1bbc6bf2-3138-4e74-93c2-2482851b646c
61296aad-aa87-408c-a9be-d2fe27c696ad;inkasso;1780437600;Storniert;be954c7e-af9c-48ec-8fbc-c8a5d1e9d01d
6e486765-fa0c-40b6-b3a4-49493ffa8e20;bezahlt;1771023600;Zahlung eingegangen;a7c71a6f-0021-4585-9319-1191852108d2
524b5749-899e-402c-8628-98c6917fd700;bezahlt;1742511600;Inkasso eingeleitet;23d4a181-3b2e-4a69-a1ef-d5c1b05e331b
c066a3fa-46bb-4403-ba1e-d03061073e64;storniert;1787004000;Storniert;8d8cbec3-f436-4aa6-bb5e-6ccc38b7d746
412a3327-99e0-4103-9390-9654a37365c6;offen;1790892000;Storniert;58208c65-c99a-43b3-8670-6f96f3e0ca3d
af3e44bc-956b-43b2-b447-17a8590c2b45;kontiert;1769295600;Automatisch erstellt;9a6a6457-61b5-4d71-91b2-f43816488e2a
d513e35f-32c4-4d31-82af-156dca6eec5a;inkasso;1778364000;Beitrag angelegt;f1ee6b25-45c9-4e60-ba0b-0bc15ca1f8da
c660627e-1821-4405-b50b-4b95561c3e23;storniert;1749420000;Zahlung eingegangen;a806a39a-f647-4b5a-ab04-a2477f3c2acc
c01f39a3-a2d8-4fc0-87b0-d3eab4927c23;angemahnt;1783116000;Mahnung versendet;81d19a30-824d-4196-9e8b-0b88b8f299a2
e3b3dddd-ae86-49da-adcf-3566235bdd15;angemahnt;1736118000;Zahlung eingegangen;b2e51bda-7de9-4c2d-b445-10da70bf2431
