titel;text;datum_erstellt;uuid
Test;Test;1775394899;033e93d5-d5ab-4c99-818a-234ccb33bbbc
Japanisches Hinwerfen;;1775551258;1b615d25-d8e9-4b3e-ba29-83c837b58300
Chinesicher Kampfkunst;;1775551284;4b9d2b5f-9f8b-47ad-b951-b399be2e3806
israelischer Nahkampf;;1775551312;fccb2da4-5c67-4818-9baf-2cf1f62a6f43
Test;Test;1776082883;8ad84b36-b191-44ab-b518-885c2206eebd
Test;Noch ein Test;1776862277;ffab6527-6e32-4ab5-baee-bf76c9b73895
Japan schmeckt nach Kirsche;Probetext erster Durchgang;1776941556;0dfbefcc-886e-42ca-8ef9-691eac488ac3
Korea Sunrise;iCH TRETTE dIR GERNE IN DIE fRESSE;1776943019;3970bb7a-a0ab-4de0-be29-ab413f40d221
Testveranstaltung;Hier noch ein Test;1776943833;ea10758a-83ef-4776-92e2-1f25e5b68963
Der Kampfsport aus dem Urwald;Hier wird noch richtig reingehauen.;1776948507;479db996-1195-45c2-a2e6-211551611e66
Der Tritt in das Gesciht;tut ganz schön weh.....;1776948841;3451c006-7b82-4891-be31-1a39f572761a
Testdaten;sind zum Testen da;1777461916;767d9f59-7200-49e1-87b2-00921281f001
Mitgliederversammlung;;1681768800;c4460576-682c-4700-99bd-cb9f55704e4e
Training;;1720476000;348a8959-c12e-4a93-bec8-587ea7caa6ef
Vorstandssitzung;Genehmigt;1626818400;350096e5-fb67-41cb-a726-500f31ca85b3
Vorstandssitzung;;1761778800;5050a5e2-93d6-4042-b818-58af9ff64681
Verletzung;;1631397600;927ac57a-162f-4e91-971c-b299af9d8fda
Jahreshauptversammlung;Erfolgreich absolviert;1578178800;ea43ce5b-a88a-4d15-8404-522b164861e7
Ferien;Teilnahme bestätigt;1633212000;7472bb47-6d8b-475b-9653-c0e0d1cd2724
Jahreshauptversammlung;Wichtige Information;1643410800;4e25e592-a9fc-41b5-960d-7ed71d344cca
Training;;1690408800;61470c7b-1f6b-4fbf-a999-ddac6d7261a3
Lehrgang;Bitte beachten;1681682400;8d52278f-2625-4200-9ce6-521180a4aba3
Verletzung;Genehmigt;1593122400;a6619a6d-3da0-4e47-9fa6-2e63595dffd1
Sponsoring;;1663452000;116b82b4-77eb-45a2-9d3c-d9a672a3f795
Ferien;;1663452000;9fbe7740-be49-4d47-9faf-e2d4103da200
Sommerfest;Bitte beachten;1669244400;498ba623-8b96-4b86-84ec-50cc347d9c9a
Workshop;;1771628400;5d6c20d0-37f3-4686-acdb-424134ef1c8d
Sonderaktion;Antrag gestellt;1762642800;e5242baa-abcd-4241-9b2d-b260af241594
Sponsoring;Genehmigt;1668726000;836165c7-37e5-4ecb-92df-930c6f4910b7
Verletzung;Wichtige Information;1731538800;b7087991-7f6d-4e07-94a3-8c8c308345e2
Jahreshauptversammlung;;1657490400;b2c1cad3-3674-4408-94e2-c27f00773c25
Vorstandssitzung;;1629410400;5c9b749c-3e7e-4a4d-9489-af2ad05b20d7
Weihnachtsfeier;;1609801200;b45da00c-7b5e-449f-a031-a08580d0218b
Prüfung;;1638054000;53656ca9-7d48-4729-b6c7-cdf9eeab75dc
Training;Wichtige Information;1585864800;5cbf2e32-0589-4fc1-be2a-bbbbf4fbf7b3
Lehrgang;Rücksprache erforderlich;1613430000;7e6e97c2-cb63-42cd-9e47-d86d7aa0c621
Sommerfest;;1745359200;486ba015-5f03-48c9-a4c4-d6b7ee0e043c
Weihnachtsfeier;;1651183200;2b5b30c2-548f-479e-84c7-696e737c4fa8
Turnier;;1675983600;6f6b041f-8adf-446c-b583-c78f14b32bc4
Vorstandssitzung;Erfolgreich absolviert;1704322800;05e7f197-0789-4f3c-90a3-01a9e301b6d4
Jubiläum;Teilnahme bestätigt;1711839600;7429aae3-6d53-4b77-be6b-f6964aca3e6a
Sonderaktion;Bitte beachten;1747346400;0d20a94e-44f3-4f98-b8a9-77fc9781c47b
Turnier;;1700175600;7937f00e-b543-41ac-baef-4e94fae71388
Jahreshauptversammlung;Antrag gestellt;1675724400;afb7ac26-6cc5-4409-a1dc-769366c8cb83
Workshop;Teilnahme bestätigt;1731106800;b564529a-1dd5-4b0b-af7c-af41669af565
Wettkampf;Bitte beachten;1714773600;46d0bd15-38a6-4d61-9e47-b02d0b663040
Mitgliedsbeitrag;Erinnerung an Zahlung;1682978400;8a9bf98f-a572-4a75-9ac3-4774afb85870
Jubiläum;Bitte beachten;1603576800;39ecd848-087b-4bbc-99e9-58e319c0a220
Turnier;;1633644000;324a34e1-27d4-4ee6-8216-86fa5f01ce4a
Ferien;Rücksprache erforderlich;1702767600;afdb9e5d-73bc-4d55-8e65-623fab859ac9
Training;;1724191200;336a59cc-98c9-4255-b7a7-30731d1f6fd0
Geburtstag;Genehmigt;1765321200;ceac30f0-9c27-4592-b95c-29775fc9a306
Lehrgang;Erinnerung an Zahlung;1797894000;d36b1a90-083d-4844-8e5b-92f3c254f2f5
Weihnachtsfeier;Erfolgreich absolviert;1796511600;517c1400-973d-421f-a3a6-123dfe545c67
Workshop;Erinnerung an Zahlung;1660168800;505d2eae-3053-437f-bd50-7be4b086a969
Gürtelprüfung;;1583017200;e5b2d0a4-e600-42d3-992d-9768ef7c41f3
Kooperation;Antrag gestellt;1698098400;07b86c81-6bd3-4e27-82a6-05037fd35541
