name;preis_uuid;laufzeit;bemerkung_uuid;uuid
Karate;b184c871-11dd-4c67-853f-9903419b088e;monatlich;0dfbefcc-886e-42ca-8ef9-691eac488ac3;4391aa6d-bb96-452c-844b-dd2a29bf03b3
TeakWonDo;1570449f-e4dd-4157-bca1-3ee9b739a64c;monatlich;3970bb7a-a0ab-4de0-be29-ab413f40d221;052dace1-1c08-4b43-9499-7c320af4a032
Aikido;fdf576db-12e0-4e5f-9f1d-22e3251591d6;einmalig;ea10758a-83ef-4776-92e2-1f25e5b68963;0f76a7ea-3990-4ff9-9e30-880c88f4d5ca
Ukabolo;d22fab98-1d32-4bdc-be90-c727f789c3ec;quartalsweise;479db996-1195-45c2-a2e6-211551611e66;37fabfb5-3002-471a-aef7-cf20b92c344e
Kickboxen;99532fac-9f19-404f-9a24-edc73b648404;monatlich;3451c006-7b82-4891-be31-1a39f572761a;0c200e9d-ab99-430b-93cd-939ee6244e9f
Yoga für Kämpfer;986d7489-3127-464f-a9b2-03d88adf1522;einmalig;<NULL>;acce804d-9769-4aed-bd39-39587ad3b709
Karate;b184c871-11dd-4c67-853f-9903419b088e;monatlich;<NULL>;0a5ccd9a-12b7-4c35-91df-2280e643ff87
Brazilian Jiu-Jitsu;f6a291f2-136d-4f49-9b55-58d005bd8b03;monatlich;<NULL>;f0490fcf-7c30-4878-a86b-219f442a488c
Yoga für Kämpfer;808110e5-851f-4e0f-a515-60bf157e6306;monatlich;3c8b70c1-0765-47e0-b8de-7276b3213473;30f8ab9d-c1ca-4ed6-b2cc-480bdbd38adc
Escrima;e320e3cd-bb1b-4a5c-b569-243a8ad55dfc;einmalig;348a8959-c12e-4a93-bec8-587ea7caa6ef;67fe4fe7-bcb5-4d34-8bbb-af6aa2d0fd42
Krav Maga;90d47d8a-984c-4971-8c75-0398c7f31f53;quartalsweise;7472bb47-6d8b-475b-9653-c0e0d1cd2724;8b323dbe-2f5f-4d84-8be5-9fa30986a4e1
Krafttraining;210ffe50-fe09-4385-8551-9df2c3e30bd1;jaehrlich;a300d0f7-bed5-4751-bb99-5711776a28b4;069fdac3-e99c-4714-ae3c-6bd3ef74d5c1
Kung Fu;fdf576db-12e0-4e5f-9f1d-22e3251591d6;monatlich;<NULL>;a10fdc17-832c-4be6-876f-e04dc4e7c003
Muay Thai;b2c8eed0-05a0-44bb-b298-125e11872c55;monatlich;836165c7-37e5-4ecb-92df-930c6f4910b7;b2fdaa10-6501-4c26-84de-eb4b033b78da
Karate;00c01a07-8447-404a-b16a-f78fa56f39f0;quartalsweise;348a8959-c12e-4a93-bec8-587ea7caa6ef;2738ca14-c22b-461d-82a4-901efe24cf99
Yoga für Kämpfer;e1beed07-7176-4134-aaaa-e77a52c8d0b6;einmalig;<NULL>;c11c942b-9341-4b36-922f-f60a317efe62
Kickboxen;84a1ce77-c6c2-4a3b-8e0e-4eff48f6f1b0;jaehrlich;a300d0f7-bed5-4751-bb99-5711776a28b4;62ba71bb-52b6-47ba-82fe-adf7817d5762
Fitnessboxen;84a1ce77-c6c2-4a3b-8e0e-4eff48f6f1b0;jaehrlich;3970bb7a-a0ab-4de0-be29-ab413f40d221;4129861f-8849-4b82-8344-749f95c7ce3d
Yoga für Kämpfer;e320e3cd-bb1b-4a5c-b569-243a8ad55dfc;quartalsweise;<NULL>;64aca9f5-5e16-47f9-ab54-c41b36751ee6
Kickboxen;d22fab98-1d32-4bdc-be90-c727f789c3ec;einmalig;<NULL>;9d43c0f2-a741-4f40-aa3f-c6921611f1b7
Wing Chun;daa9f974-f1ec-4f89-bb54-d4bce2f2150c;jaehrlich;8d5fcf9a-ff22-4c97-b8de-c7753fdc29fe;73f7ac9d-d11d-4501-bca9-966669536512
Ausdauertraining;1397bd1d-d397-4f7a-9216-6f4106651d42;jaehrlich;dfc61431-6843-4377-a2a2-848698592052;4904eca8-298d-40ca-ba04-dd943d964933
Aikido;2de14d6b-202e-4d4d-bdfa-e8be22fe733d;quartalsweise;e4d8a5ae-b23e-498a-bff1-3d3bbdad3803;f33c100a-052e-41c2-9bba-a0314e31038d
Capoeira;9bf1aa28-2660-4fd9-a2a7-c2beda27ff65;monatlich;7429aae3-6d53-4b77-be6b-f6964aca3e6a;743788de-be60-4d56-baf3-e315af123d7e
Ausdauertraining;210ffe50-fe09-4385-8551-9df2c3e30bd1;jaehrlich;<NULL>;077bef5f-20f2-4377-8cb9-d01966d8bf35
Brazilian Jiu-Jitsu;e1beed07-7176-4134-aaaa-e77a52c8d0b6;quartalsweise;<NULL>;2e6ace59-f261-4379-a134-5ab0cb94a6a2
Yoga für Kämpfer;76a62068-efb9-45ce-a8f0-231196b666cc;monatlich;dbdf5073-3f87-4b9a-b5d6-f7f7b1a97cc7;f63b3dda-1e0d-4ec7-b701-af6f896fa5f0
Krav Maga;36ee43ab-962e-4801-92c0-ce42dbba43e2;monatlich;<NULL>;1e62c235-7b7e-4019-bc79-ce14347b83bf
Karate;b8c68cd0-4b49-4a33-9f69-aff6cc389405;jaehrlich;233ad079-5017-482e-8b1b-7412024e2e90;7deb4036-229a-4c98-aa8f-0c4b0e9763ae
Ausdauertraining;77728078-84f7-42ea-a2b7-d271f6af7292;einmalig;<NULL>;e2f1c83f-56f7-4cb4-aac7-0d675c1c34ae
Ausdauertraining;77728078-84f7-42ea-a2b7-d271f6af7292;quartalsweise;348a8959-c12e-4a93-bec8-587ea7caa6ef;75cecc15-3b0a-47cd-9da0-9152baef48ab
Aikido;9bf1aa28-2660-4fd9-a2a7-c2beda27ff65;monatlich;ba39f795-2d38-42ff-88df-b744d8e871ea;e5c6834d-ce73-42c7-a834-5f39910eca61
Boxen;daa9f974-f1ec-4f89-bb54-d4bce2f2150c;einmalig;31c9293a-af35-485b-a03b-f7e6a96aed0e;90567b2f-2c43-4be6-b25e-a8257565391d
Yoga für Kämpfer;1e48293a-3dc3-43aa-9963-0a97d4969bea;monatlich;ba39f795-2d38-42ff-88df-b744d8e871ea;8a4c5adb-d27c-4660-a9a5-285a3fb6154b
Ringen;6af38149-ed6b-4a49-a49e-c1812b4a7814;jaehrlich;46b2e9fa-cead-41f5-ba0c-758dbcf6b9da;012ec921-5426-4b3b-9dac-29af3cf310d3
