bruttopreis;bemerkung_uuid;uuid
100,00;<NULL>;77728078-84f7-42ea-a2b7-d271f6af7292
45,01;<NULL>;c4b07c03-5930-4848-8fe5-d5e43b544384
120,00;<NULL>;7010a921-7144-44c5-8ae7-430bc0fe349e
80,00;<NULL>;48f8cfde-6f42-45aa-8d19-9463aa505b0a
45,01;<NULL>;743ca42c-67c4-4178-98bc-765194f31de0
230,00;<NULL>;e7b82d0b-51db-4103-a03b-f33cdcbe4548
60,00;<NULL>;b184c871-11dd-4c67-853f-9903419b088e
45,01;<NULL>;1570449f-e4dd-4157-bca1-3ee9b739a64c
29,99;<NULL>;fdf576db-12e0-4e5f-9f1d-22e3251591d6
230,00;<NULL>;d22fab98-1d32-4bdc-be90-c727f789c3ec
55,00;<NULL>;99532fac-9f19-404f-9a24-edc73b648404
29,99;<NULL>;f6a291f2-136d-4f49-9b55-58d005bd8b03
45,01;<NULL>;1397bd1d-d397-4f7a-9216-6f4106651d42
230,00;<NULL>;0a3f908e-f71c-4056-a083-51327040bb29
60,00;<NULL>;cf87bf47-7ca7-4894-8b2a-de6658fb4905
230,00;<NULL>;cfff318e-322d-4da1-9111-ad8376ff44a3
45,01;<NULL>;9e9ce7ff-ca15-48dd-82bd-ae36b3a0d1ca
230,00;<NULL>;178f3f27-b303-4cff-adfd-7e5e785c4409
150,00;<NULL>;c1a33a43-9322-484a-9ece-e4d6a4c8059e
120,00;<NULL>;3da7bb23-df65-47de-a498-9558ec0e73ff
29,99;348a8959-c12e-4a93-bec8-587ea7caa6ef;ece0114d-6877-4674-8e53-dac33ba1ca90
150,00;<NULL>;e782f645-88c0-4a77-abb0-1b5a51ea3614
29,99;<NULL>;db315741-7358-4181-bd92-1bb21516d484
55,00;<NULL>;3a7b3525-354e-47ce-b547-65c8a00ec83a
55,00;fc1c1da8-52e8-4849-9e08-8942f09a9b9f;1ebc295c-56d2-4f8a-b85d-7d2ec6ce38d6
39,99;182ccc67-ba75-41ce-9dfb-b6560b0580e5;75cd3ea0-93b5-413f-946a-d83badf6fa9f
60,00;<NULL>;ffdd7d2b-ed31-4205-9f37-8d11cc42c2f2
60,00;<NULL>;ed5d1b6b-e046-4c44-86d3-8cef7e792df6
29,99;fccb2da4-5c67-4818-9baf-2cf1f62a6f43;8dddf2c9-fcaa-4d83-8e9e-1475f5013627
45,01;033e93d5-d5ab-4c99-818a-234ccb33bbbc;143c9c80-353a-44f4-b8a9-7a23be4b598d
150,00;<NULL>;a9fb9ed2-9aa7-44f9-a335-7ad24bab80d8
39,99;<NULL>;09c638f8-811f-4eee-82de-98eb42c4f579
39,99;<NULL>;c26c4b61-17dc-4bca-97a0-260b067694a0
60,00;<NULL>;ec51a9aa-d8a8-43c8-902e-39650e3979b0
199,99;350096e5-fb67-41cb-a726-500f31ca85b3;79db626c-e284-4970-91bf-1922e1fed6ff
45,01;<NULL>;11b7ed8d-cfde-43d0-9c40-ff48933baefe
29,99;b45da00c-7b5e-449f-a031-a08580d0218b;1b5f1492-71a1-4851-8ebf-4aea8358b1d2
29,99;<NULL>;fccc4f37-63ae-4f5f-aaba-d21064901f70
150,00;<NULL>;e320e3cd-bb1b-4a5c-b569-243a8ad55dfc
80,00;<NULL>;885bbf64-792f-40ff-8e80-66f15933e13f
199,99;<NULL>;dbb20907-294c-4d7c-a50d-674f944cf803
19,99;233ad079-5017-482e-8b1b-7412024e2e90;e1beed07-7176-4134-aaaa-e77a52c8d0b6
45,01;<NULL>;986d7489-3127-464f-a9b2-03d88adf1522
60,00;<NULL>;debdbce1-f984-471c-b9da-3a4c8c1320b9
230,00;dfc61431-6843-4377-a2a2-848698592052;c3fbc708-46ac-43dd-bdb7-9b1426c62138
45,01;<NULL>;bd66f387-0fb5-46f6-b461-c720f5f79d78
45,01;5050a5e2-93d6-4042-b818-58af9ff64681;808110e5-851f-4e0f-a515-60bf157e6306
39,99;1e4b846b-eabb-4115-bad3-798932f30faa;aa6bad57-91b6-4237-8276-ff7b57a12aab
230,00;<NULL>;cff7bffb-3218-4a3d-9fd5-240b99fb345a
150,00;396fcc23-a4ad-47a0-a718-f42abbd86c92;2de14d6b-202e-4d4d-bdfa-e8be22fe733d
80,00;<NULL>;f7986ca4-ffc4-453b-a51f-327ea732b868
199,99;<NULL>;3f9f9dda-54ca-4552-8c50-4d8df14dd79e
230,00;350096e5-fb67-41cb-a726-500f31ca85b3;e40be276-ab85-46c8-abd0-d613dc79a270
55,00;<NULL>;daa9f974-f1ec-4f89-bb54-d4bce2f2150c
19,99;<NULL>;84a1ce77-c6c2-4a3b-8e0e-4eff48f6f1b0
120,00;<NULL>;0bfef360-f0de-47e9-9ebd-cfdd86febe65
60,00;<NULL>;6218f3c2-c47c-400d-9dc3-b6f977300028
80,00;<NULL>;755d15dd-6022-4e19-a454-fc4481590374
19,99;3451c006-7b82-4891-be31-1a39f572761a;f0e3f803-a202-4404-b4c0-3de9323c05d9
45,01;5d6c20d0-37f3-4686-acdb-424134ef1c8d;00c01a07-8447-404a-b16a-f78fa56f39f0
39,99;<NULL>;864a353f-3800-4bf0-a9ba-2af16cde7bfa
150,00;24e60528-aeaa-468c-9625-0129ed100760;5bfa3479-623f-454e-9bd8-b66401adc8c9
55,00;<NULL>;90d47d8a-984c-4971-8c75-0398c7f31f53
60,00;<NULL>;3e8d1640-332b-4689-8803-48429db952f7
120,00;<NULL>;36ee43ab-962e-4801-92c0-ce42dbba43e2
45,01;<NULL>;3febac23-e937-4c8f-8c4e-078539068f5d
60,00;<NULL>;1db64250-bff4-4bb9-9f54-9af735826b57
230,00;<NULL>;a1b77b8f-cc8e-41db-89aa-a77db62d63d5
230,00;<NULL>;86b9f1f9-679e-475e-8ba4-a1c7abb2ce99
60,00;<NULL>;210ffe50-fe09-4385-8551-9df2c3e30bd1
99,99;dc8771ca-fb4e-46be-98d3-09bb781dfa95;efe89985-734e-416c-8023-709c8b93292a
60,00;<NULL>;5480da18-91ee-4c43-ba12-25247b643601
99,99;55828957-6826-4cd8-a80b-64ea83ca8029;182c3dc4-a12b-44ec-98be-cce4da5324e0
99,99;7472bb47-6d8b-475b-9653-c0e0d1cd2724;81487cc1-3517-4c1a-9476-59c540abb538
150,00;<NULL>;529e6ef3-862a-4dd5-a6eb-1aee99d66bee
120,00;<NULL>;f4f55d09-adeb-4674-827a-71eb5ac0ff4c
230,00;<NULL>;a92a2460-fa0d-4f08-bff6-c3850fe18db4
29,99;<NULL>;e1f62e0f-caf1-40a1-8bbb-ddb96c39a3b9
120,00;<NULL>;cded1a24-802a-4423-ac53-f159f9337aba
19,99;4b9d2b5f-9f8b-47ad-b951-b399be2e3806;51f95b19-7d23-4c3b-8103-4ce06537bb41
80,00;324a34e1-27d4-4ee6-8216-86fa5f01ce4a;9f63afc6-21ad-44b0-aaaf-82f67985c24d
29,99;<NULL>;d6c1f5ed-3399-453b-b779-f63bb4064ef0
60,00;<NULL>;115af6df-139a-48ae-b0d1-9b656d551b74
99,99;<NULL>;b2c8eed0-05a0-44bb-b298-125e11872c55
150,00;<NULL>;31a42184-9901-4068-888b-9f28ababaf95
80,00;<NULL>;c90cac8f-3d05-40ca-a8f0-a913ab5ed1bd
120,00;7be6b10a-d27e-4e3c-a6a8-eff248e40b54;30cde7aa-648b-4d46-93b2-c3b520b521d3
80,00;<NULL>;f5a32c77-8e74-490e-b678-3af0cb92ac8b
55,00;<NULL>;fdd1e4cf-24b8-4203-8dd4-f897c48b2d8c
55,00;<NULL>;c1d4fac8-93eb-4b40-a99e-b534c164dfa6
45,01;<NULL>;d151c02f-bf74-4f20-a65d-f0cefb9a4042
39,99;2b5b30c2-548f-479e-84c7-696e737c4fa8;c27461ea-5c39-44b3-aa8f-f224bc7277cf
150,00;<NULL>;497f6898-012e-40f9-9768-a7ae1542d966
60,00;927ac57a-162f-4e91-971c-b299af9d8fda;46513b7f-b411-4bf5-a5ff-425e20bd18bb
99,99;<NULL>;0cfb9dd2-f7db-45c0-ae39-f23b0f6aee41
19,99;<NULL>;492b7233-8f5a-41c3-94af-e9a837328b31
