rechnung_uuid;position_nr;waren_uuid;bezeichnung;menge;einzelpreis_netto;einzelpreis_brutto;mwst_satz;gesamt_netto;gesamt_brutto;uuid
716f4175-0dfd-4dac-8760-cfa9cd816d66;1;13d55c37-28f3-44d5-b57c-2deedb1fb196;Elbogenschoner;3,00;16,81;20,00;19,00;50,42;60,00;3cb81998-c66e-4f6d-a455-df202a0806d6
716f4175-0dfd-4dac-8760-cfa9cd816d66;2;10013a30-d224-45fa-ae90-4fed827640e5;Boxhandschuhe;1,00;126,05;150,00;19,00;126,05;150,00;9d92143d-805c-42fd-9b03-d1c85344840a
716f4175-0dfd-4dac-8760-cfa9cd816d66;3;49a1cf8a-966c-427b-8232-00ae0aa8d6f7;Rundhaustrittschuhe;1,00;33,61;40,00;19,00;33,61;40,00;25d6f02d-9c7f-4184-aa72-891241a6d21b
ea29677e-adc6-4bf2-b2b3-70b773caaf6d;13;60cb6f37-8fb9-4b25-9ebe-9049af59ffa4;Artikel 194;5,00;144,57;172,04;19,00;722,85;860,20;4bdf01ea-ddea-4cb0-93af-65db0bce2bf8
2db7131f-02dd-4099-a819-e1dcaf954e66;1;f94e36ca-c976-4ba7-bbd3-a3b3ecce815f;Artikel 883;3,00;100,83;119,99;19,00;302,49;359,97;c6d5a740-3868-42df-ba54-28f758c5aa71
75bb363c-6313-4c9c-bbf5-c0798d3faa2c;12;41640213-7f81-4161-8f31-b0a910f5797c;Artikel 6;6,00;70,04;83,35;19,00;420,24;500,10;5d9c6c6b-8098-49fb-9d20-0e5adf5781b2
8ea61a21-c872-4549-975d-88642836dc54;3;c86ed6c6-7742-4f6e-9e5d-adb984639d6e;Artikel 581;7,00;166,28;197,87;19,00;1.163,96;1.385,09;68a3377e-e38f-4fd6-9cef-51d4d220c9e6
008055b2-2675-473a-885b-cab8bbc6a084;16;e9d74b8f-68f5-4bf5-b612-27548d560f37;Artikel 481;1,00;6,76;8,05;19,00;6,76;8,05;ac81def8-188f-41f7-9372-0cd5daba96f2
6dc71f3d-ab52-4efc-9da3-c6c11d1ffd31;16;fb917dd3-ae68-45ae-aaf9-c226b8f07ddf;Artikel 588;8,00;113,14;134,64;19,00;905,12;1.077,12;782c6439-c591-4662-8387-43086e33c7dc
cd4721ca-5383-4ce1-aebf-e35856f01b16;4;34793924-3671-4a9d-b71b-f042af868fe4;Artikel 118;6,00;35,24;41,93;19,00;211,44;251,58;29d5df18-0c41-46be-b5ff-4cfd7bdc0576
