schluessel;wert;typ;kategorie;bezeichnung;beschreibung;aenderbar;system_pflicht;uuid
test_sync_interval_0;Testwert_0;integer;system;Sync-Intervall (Test 0);Intervall für Datensynchronisation;1;0;f7c929d7-d575-498e-8f1a-6345c5c47204
test_max_mitglieder_1;Testwert_1;integer;system;Max. Mitglieder (Test 1);Maximale Anzahl Mitglieder;1;0;d9787435-33e2-44e8-be50-119a14b85701
test_club_name_2;Testwert_2;text;stammdaten;Vereinsname (Test 2);Name des Vereins;1;0;7f5ed08f-1446-4dd1-be69-a0843833f033
test_club_street_3;Testwert_3;text;stammdaten;Straße (Test 3);Straße des Vereins;1;0;1273f5e2-c292-4039-abf3-f030411a0d75
test_club_city_4;Testwert_4;text;stammdaten;Ort (Test 4);Ort des Vereins;1;0;81adb15b-4597-43f6-843b-2cb750644faa
test_club_zip_5;Testwert_5;text;stammdaten;PLZ (Test 5);Postleitzahl des Vereins;1;0;70d55492-1534-43c4-80e0-147dfcc8551f
test_club_phone_6;Testwert_6;text;stammdaten;Telefon (Test 6);Telefonnummer des Vereins;1;0;52fa6428-72c9-4b93-8a44-ddb6283bbb94
test_club_email_7;Testwert_7;text;stammdaten;E-Mail (Test 7);E-Mail des Vereins;1;0;58c63452-240d-452f-9119-3aff84ee4986
test_training_start_8;Testwert_8;text;training;Trainingsbeginn (Test 8);Beginn der Trainingseinheit;1;0;55501ad3-f47e-4adc-8408-3d8d7d5c8a9f
test_training_end_9;Testwert_9;text;training;Trainingsende (Test 9);Ende der Trainingseinheit;1;0;3ef0cad9-2f87-4cca-86de-b075eda6d91f
test_sync_interval_10;Testwert_10;integer;system;Sync-Intervall (Test 10);Intervall für Datensynchronisation;1;0;a3acf41a-cb7d-4b11-b240-f53cf9008d46
test_max_mitglieder_11;Testwert_11;integer;system;Max. Mitglieder (Test 11);Maximale Anzahl Mitglieder;1;0;4dac670a-e0f5-414e-8553-38b4bdfae599
test_club_name_12;Testwert_12;text;stammdaten;Vereinsname (Test 12);Name des Vereins;1;0;64b02d25-6e96-4b01-b3be-f2c8faf13cdd
test_club_street_13;Testwert_13;text;stammdaten;Straße (Test 13);Straße des Vereins;1;0;b59e7cb2-7c5f-484e-b690-1a376e9d4fbc
