bezeichnung;beschreibung;kategorie;groesse;farbe;geschlecht;material;einkaufspreis;bruttopreis;bestand;mindestbestand;lieferant;hersteller;hersteller_artikelnr;gewicht_kg;einheit;bild_url;aktiv;erstellt_am;aktualisiert_am;bemerkung_uuid;uuid
Elbogenschoner;Schoner aus Synthetic ;boxen;L bis XXL;rot;Unisex;;15,00;20,00;2;1;Gute Armschoner;Aldi;fujfbkis;<NULL>;;<NULL>;1;1777461777;1777461777;<NULL>;13d55c37-28f3-44d5-b57c-2deedb1fb196
Rundhaustrittschuhe;Haben Kufen für schlimme Trittew;Fußbekleidung;12;silber;Herren;Edelstahl;23,00;40,00;3;1;zuuuu;123Aldi;283u7u7;12,00;3;<NULL>;1;1777461916;1777461916;767d9f59-7200-49e1-87b2-00921281f001;49a1cf8a-966c-427b-8232-00ae0aa8d6f7
Boxhandschuhe;Handschuhe für das Standart boxen;boxen;M;blau;Unisex;polyester;120,00;150,00;2;0;boxmax;ALDI SÜD;123123;0,50;;<NULL>;1;1777462499;1777462499;<NULL>;10013a30-d224-45fa-ae90-4fed827640e5
MUNDSCHUTZ;Aus Metall, unkaputtbar;boxen;einheitlich;silber;Unisex;stahl;34,00;40,00;2;0;lokokokok;aldi nord;12fnjke;0,10;;<NULL>;1;1777462570;1777462570;<NULL>;ff8dfbde-bbfe-4375-a75d-d5caa9608dea
Bandagen;Bandagen für Training und Wettkampf;boxen;M;silber;Herren;Leder;120,00;168,45;19;1;Combat Sports Ltd.;Title;ART-95713;<NULL>;Stück;<NULL>;1;1751320800;1751320800;<NULL>;f7676f54-16c9-4d51-bf9b-2eee8d995272
T-Shirt;T-Shirt für Training und Wettkampf;bekleidung;L;orange;Damen;Schaumstoff;34,00;49,75;22;4;Boxwelt KG;Title;ART-50527;1,37;Stück;<NULL>;1;1737846000;1737846000;<NULL>;b8c3bbcf-c62c-47ab-87f8-8a3938d7af9a
Boxhandschuhe;Boxhandschuhe für Training und Wettkampf;boxen;einheitlich;schwarz;Unisex;Leder;45,00;85,04;23;1;Fitness OHG;Rival;ART-16809;<NULL>;Paar;<NULL>;0;1753653600;1753653600;<NULL>;6f0e1c0a-778e-4b6c-a750-4fd2d69e4fc9
Springseil;Springseil für Training und Wettkampf;training;einheitlich;gruen;Damen;Schaumstoff;15,00;22,37;44;3;Sports Unlimited;Nike;ART-90185;<NULL>;Flasche;<NULL>;0;1759442400;1759442400;<NULL>;2cfa81bf-eba4-48df-9fec-7ba2a69c12b5
Tiefschutz;Tiefschutz für Training und Wettkampf;boxen;42;pink;Unisex;Polyester;45,00;74,21;32;2;Martial Arts Supply;Title;ART-26732;1,92;Stück;<NULL>;1;1781647200;1781647200;<NULL>;1aa4a28e-57a4-4ad4-a861-a93309e17fe3
Boxhandschuhe;Boxhandschuhe für Training und Wettkampf;boxen;S;silber;Unisex;Leder;23,00;45,25;9;1;Sport GmbH;Fairtex;ART-12841;<NULL>;Flasche;<NULL>;1;1790719200;1790719200;<NULL>;b8113055-df8d-44df-ae71-63406908e2ea
Trainingsjacke;Trainingsjacke für Training und Wettkampf;bekleidung;einheitlich;orange;Herren;Latex;15,00;20,51;42;2;Sports Unlimited;Everlast;ART-20129;2,20;;<NULL>;0;1743030000;1743030000;<NULL>;b795a764-6804-49d5-a438-b7da60762168
Trainingsanzug;Trainingsanzug für Training und Wettkampf;bekleidung;46;gruen;Herren;Baumwolle;60,00;113,66;24;2;Sports Unlimited;Venum;ART-51860;1,21;Paar;<NULL>;1;1798066800;1798066800;<NULL>;6eb02e1f-73c0-410e-9885-18136ed365d0
Boxsack;Boxsack für Training und Wettkampf;training;42;silber;Unisex;Schaumstoff;120,00;181,20;10;2;Fitness OHG;Hayabusa;ART-58340;<NULL>;Paar;<NULL>;1;1787608800;1787608800;<NULL>;60a82d3d-5ae3-42dd-a0e2-13173d6f44ef
Getränkeflasche;Getränkeflasche für Training und Wettkampf;zubehoer;XS;schwarz;Damen;Polyester;23,00;44,46;8;5;Combat Sports Ltd.;Everlast;ART-24811;<NULL>;;<NULL>;0;1778364000;1778364000;<NULL>;c2f68223-c049-4728-b46d-801038424ced
Handschuhe;Handschuhe für Training und Wettkampf;training;einheitlich;orange;Unisex;Leder;120,00;171,77;42;0;Kampfsport AG;Nike;ART-43696;<NULL>;Flasche;<NULL>;1;1776117600;1776117600;<NULL>;a55a1b4e-a87c-46e2-a288-432bb563c094
Kopfschutz;Kopfschutz für Training und Wettkampf;boxen;XS;lila;Herren;Leder;60,00;113,07;5;5;Boxwelt KG;Nike;ART-82180;<NULL>;Stück;<NULL>;0;1746568800;1746568800;<NULL>;af294055-49e8-4d6e-85b3-7d9e05e61d2e
Mundschutz;Mundschutz für Training und Wettkampf;boxen;L;silber;Unisex;Baumwolle;34,00;58,23;29;2;Combat Sports Ltd.;Everlast;ART-48621;2,87;Set;<NULL>;0;1783029600;1783029600;<NULL>;364ad99b-c852-4ae5-af29-726f1bdcceb8
Springseil;Springseil für Training und Wettkampf;training;S;blau;Herren;Leder;23,00;45,26;15;4;Martial Arts Supply;Rival;ART-89685;<NULL>;Stück;<NULL>;1;1783720800;1783720800;<NULL>;2c4f1647-c8f7-4b64-b07f-e8dab26d5d17
